spread,recovery,peak_infection,peak_day,country
0.32953757179857096,0.09999988987092824,20078984.186872628,82,Denmark
0.15028559257133164,0.09999988192634192,1119940.475899875,199,Diamond Princess
0.3187106977259547,0.08431017267835883,23007119.885095198,81,Djibouti
0.2954968106925667,0.08522224607000471,21179790.063488577,90,Dominica
0.31981796211732577,0.09999977337500818,19403440.263925705,86,Dominican Republic
0.29053383559868284,0.0999999902813863,17314654.576308075,88,Ecuador
0.24143126187897562,0.09999996489844466,13243475.361086808,129,Egypt
0.33581442067909983,0.08331790335845747,24362139.830973208,76,El Salvador
0.23692034699833395,0.08992244141315352,15159693.548314182,125,Equatorial Guinea
0.3366786696109702,0.09999999983925704,20538766.602531463,80,Eritrea
0.29145202347672977,0.09999984399531338,17385647.65091947,97,Estonia
0.2074854246376737,0.09258896467445735,11619641.33818375,157,Eswatini
0.26204781037918606,0.09274563688326322,16701698.64714171,110,Ethiopia
0.23426561167167215,0.08846642715031613,15267818.90733508,126,Fiji
0.21538937243523842,0.09999997905586126,10768450.515699375,156,Finland
0.25055717026318874,0.09999999999999999,14057523.059395343,117,France
0.23905540592040628,0.09151703903705743,14973810.844426958,125,Gabon
0.1774702672863178,0.09123385496106173,8240094.654152276,199,Gambia
0.2365348287307787,0.0999999291150384,12792858.490490882,133,Georgia
0.2710122806466002,0.0999999999901405,15787557.639413632,108,Germany
0.3017589926884295,0.09222678360312633,19912896.74644043,85,Ghana
0.3000162732494899,0.09999991360997863,18016358.699750483,93,Greece
0.2834218262103047,0.08584469695488472,20107759.247682977,95,Grenada
0.28729494955013485,0.08978782184931694,19436910.834319096,95,Guatemala
0.2966737993647731,0.09167444332529993,19681437.207761604,92,Guinea
0.29444112118422233,0.08535239296975962,21066944.195809837,87,Guinea-Bissau
0.23250108031588934,0.09533258833675907,13464171.693788886,133,Guyana
0.24618701248661687,0.08772234683825063,16554857.22462048,113,Haiti
0.16803202327122588,0.09998049199122895,705711.0235653529,199,Holy See
0.30390626871066045,0.09999999971602326,18302763.05786967,88,Honduras
0.2918200519645318,0.09999966746130823,17401697.90543403,94,Hungary
0.3068241516897971,0.09999924020914115,18501151.561077494,91,Iceland
0.22232344093217918,0.09999999999999999,11445510.911900349,148,India
0.3150095725939219,0.0999995406414358,19097505.548011314,84,Indonesia
0.3314496434596707,0.09999999920082779,20180431.027285606,78,Iran
0.27341425118143065,0.09999999536465548,15977787.552102802,107,Iraq
0.34433706727416846,0.099999999999935,21006777.765870776,77,Ireland
0.3112428131051798,0.09999997052054262,18828530.923072826,89,Israel
0.27626808677708536,0.09999999999999999,16210533.035775261,101,Italy
0.267211004115023,0.09645452114745218,16259873.667056004,109,Jamaica
0.20086276317008117,0.09999998887654793,9292132.72785805,169,Japan
0.28705995939725704,0.09999925606694744,17044959.658405554,99,Jordan
0.3254213353259995,0.09999999958770989,19793397.64029167,77,Kazakhstan
0.32253927034104274,0.09999980613798834,19589460.76557044,85,Kenya
0.23169615374132327,0.09999965422805766,12343766.92223303,138,"Korea, South"
0.16717029273996056,0.09164093630945472,7336262.333956689,175,Kosovo
0.25646324017351546,0.0999997289129222,14562471.274336915,117,Kuwait
0.3161329267198595,0.08458668438655668,22755215.02197907,78,Kyrgyzstan
0.24827679932068278,0.08758186258156957,16776797.523179516,111,Laos
0.29392631298593247,0.09999978766647585,17576724.52823353,96,Latvia
0.251001003601991,0.09999930028495142,14091135.721252274,121,Lebanon
0.2055592049583801,0.09025531567798545,11971818.937794823,157,Liberia
0.3363429115030383,0.08319705276705533,24415790.565432932,76,Libya
0.24686989603537932,0.09999860742030928,13724493.433808466,125,Liechtenstein
0.2875178752559672,0.09999976072332256,17089814.766335793,99,Lithuania
0.33068224798882656,0.09999978734266525,20146528.14134871,82,Luxembourg
0.3015980824383183,0.08499248549570275,21662861.86858764,84,MS Zaandam
0.30090313373312677,0.0850428218775141,21608596.26515111,83,Madagascar
0.194112905718693,0.09030655762509517,10721989.564948272,162,Malawi
0.20244085519265304,0.09999999999999999,9458339.447983213,163,Malaysia
0.16392470145483637,0.09999980506699632,1164272.1779252582,199,Maldives
0.3869826339872614,0.08138031006340876,27698642.751135673,61,Mali
0.25875262407870653,0.09999953398110183,14766681.684555186,109,Malta
0.18442166970879445,0.09341354556492772,8936758.382844744,195,Mauritania
0.3531066955834791,0.09999959772415683,21545615.3059187,71,Mauritius
0.30902501912842467,0.09999996662843298,18665368.789261363,90,Mexico
0.34557943074894043,0.09999999757862744,21107431.87496123,77,Moldova
0.22352847112743687,0.09999982746361336,11565452.86978069,146,Monaco
0.21281073683874083,0.09831947388248716,10874566.072550092,157,Mongolia
0.3569746483714379,0.0999995985824411,21800978.355495993,71,Montenegro
0.3092463116947703,0.09999999862848843,18674404.19348888,90,Morocco
0.2748841802238782,0.0863960288699018,19307126.020354,100,Mozambique
0.19311463035368825,0.09423451701394256,9712098.950599996,173,Namibia
0.11999409290036211,0.09999999999999999,53.45258684510668,199,Nepal
0.36659267882984925,0.09999991701493981,22352915.715871885,71,Netherlands
0.293125520663261,0.0999999316491889,17499641.86899832,97,New Zealand
0.2014756670000487,0.08995722252469926,11609187.724415515,162,Nicaragua
0.4314038977267669,0.09999984866069095,25756014.617458485,58,Niger
0.2510159176969851,0.09999998871183592,14092623.301554397,121,Nigeria
0.26525869026025806,0.09999991899180251,15306403.146761253,112,North Macedonia
0.3319262899830497,0.09999948888058299,20226143.459641863,81,Norway
0.2247028773561087,0.099999978030192,11675911.576314356,139,Oman
0.2944599255462548,0.09999981996977446,17610097.183113877,92,Pakistan
0.39920198163451687,0.09999999984783083,24164040.35829228,64,Panama
0.09523779888445354,0.09523779633638264,1.0000000028203366,6,Papua New Guinea
0.2726847583511103,0.09959164569705559,16013833.627177164,107,Paraguay
0.3624320103904801,0.09999998426166276,22103467.844021305,72,Peru
0.22328886772286724,0.09999999999999999,11537506.153312944,146,Philippines
0.3675815102026322,0.09999992599782699,22426968.802898414,71,Poland
0.3629209676339339,0.09999999995228671,22138038.72381188,70,Portugal
0.308102698317603,0.0999999017984192,18612590.954858355,90,Qatar
0.31730767677925376,0.09999992421641041,19239005.23638884,86,Romania
0.21930072574928697,0.09999999999999996,11154469.05813267,145,Russia
0.31384557429077947,0.08899770499555852,21532140.870345198,84,Rwanda
0.24831576512436065,0.08759860471716824,16776472.07092928,111,Saint Kitts and Nevis
0.22038400596077082,0.09215561739811153,13034728.538660347,142,Saint Lucia
0.15309308484358602,0.09452005668076695,113886.24428266437,199,Saint Vincent and the Grenadines
0.25743851047996325,0.09999994645993189,14651795.42167036,117,San Marino
0.3371731354322165,0.09999958391283753,20559523.88229346,80,Saudi Arabia
0.267768903967154,0.09999983707969151,15522299.99668935,110,Senegal
0.3574655117572036,0.09999999999950712,21822126.79849846,74,Serbia
0.17926267554635125,0.09465633105619882,8076964.236229017,199,Seychelles
0.42782184692216485,0.07817941962040134,30399547.295239087,56,Sierra Leone
0.2000738435896978,0.09999998049832606,9211125.69243384,178,Singapore
0.31754849694108433,0.09999933337494571,19262401.527728736,86,Slovakia
0.31232445608792375,0.09999760088382582,18910838.663533237,85,Slovenia
0.18932449398591328,0.09103602452716024,10024345.92695753,182,Somalia
0.35127345874014865,0.09999372164457687,21436554.99377206,75,South Africa
1.0,0.05,47998080.858641416,22,South Sudan
